group,mz,cluster,r2
dn1,672.46874873485,1,0.989371595632304
dn1,672.46874873485,2,0.9893030837298562
dn1,672.46874873485,3,0.993104660175389
dn1,672.46874873485,4,0.9743025200411892
dn1,672.46874873485,5,0.9855990686802586
dn1,672.46874873485,6,
dn1,672.46874873485,7,0.9700909521951526
dn1,672.46874873485,8,0.9883122625502782
dn1,672.46874873485,9,0.9911650906928152
dn1,672.46874873485,10,0.9904352053697062
dn1,672.46874873485,11,
dn1,672.46874873485,12,0.99481961192496
dn1,672.46874873485,13,0.9879496983511782
dn1,672.46874873485,14,0.9858242121298512
dn1,672.46874873485,15,0.9746759004349136
dn1,672.46874873485,16,0.9941272393476835
dn1,672.46874873485,17,0.9955266924451142
dn1,672.46874873485,18,0.9902126757371243
dn1,672.46874873485,19,0.994533214361852
dn2,672.46874873485,0,0.9930501768833336
dn2,672.46874873485,1,0.9979974905724608
dn2,672.46874873485,2,0.990624276244415
dn2,672.46874873485,3,0.9992326550448798
dn2,672.46874873485,4,0.9994210275476256
dn2,672.46874873485,5,0.9897015365500192
dn2,672.46874873485,6,0.9983979965337272
dn2,672.46874873485,7,0.998488983587878
dn2,672.46874873485,8,0.9978970519070034
dn2,672.46874873485,9,0.999728476237118
dn2,672.46874873485,10,0.9950007156529266
dn2,672.46874873485,11,0.965255779249806
dn2,672.46874873485,12,0.985725171760208
dn2,672.46874873485,13,0.9943088711003336
dn2,672.46874873485,14,0.9913424142238983
dn2,672.46874873485,15,0.9887307300714768
dn2,672.46874873485,16,0.9973500483340876
dn2,672.46874873485,17,0.9997506971574428
dn2,672.46874873485,18,0.9800133934482986
dn2,672.46874873485,19,0.99788655313641
dn3,672.46874873485,0,0.994720137724243
dn3,672.46874873485,1,0.9969430270056744
dn3,672.46874873485,2,0.9805470312451952
dn3,672.46874873485,3,0.9855073205666444
dn3,672.46874873485,4,0.991408122844032
dn3,672.46874873485,5,0.9759524517048654
dn3,672.46874873485,6,0.9874088596421224
dn3,672.46874873485,7,0.9964878563659274
dn3,672.46874873485,8,0.9932791371891896
dn3,672.46874873485,9,0.9707593629643584
dn3,672.46874873485,10,0.9892100939422844
dn3,672.46874873485,11,0.9789760854622488
dn3,672.46874873485,12,0.9856342551238424
dn3,672.46874873485,13,0.9936030502082333
dn3,672.46874873485,14,0.99473721115319
dn3,672.46874873485,15,0.9866457826164052
dn3,672.46874873485,16,0.9898278766955044
dn3,672.46874873485,17,0.9943061769028996
dn3,672.46874873485,18,0.9912402126936138
dn3,672.46874873485,19,0.9846441590049912
