group,mz_key_2dec_trunc,mz,min_r2,max_r2
ctrl2,758.49,758.49827954296,0.9467581964813474,0.9965894165581112
ctrl2,833.51,833.51812258925,0.9186371820601402,0.9785536483359156
ctrl3,59.01,59.013890864602,0.9201373190814204,0.9854452861765484
ctrl3,73.02,73.029440958246,0.9274497716735652,0.9979200678343668
ctrl3,74.02,74.024613171262,0.9038705312675022,0.9906454767043096
ctrl3,89.02,89.024132120511,0.932023418475633,0.985600844669929
ctrl3,100.0,100.00371892575,0.9200883545660956,0.9936016225000156
ctrl3,101.02,101.02392452913,0.9352425944338876,0.9955296846397238
ctrl3,110.97,110.97525847124,0.9331077507190024,0.9984048376377848
ctrl3,113.06,113.06040833082,0.9059667075718078,0.9944595994193964
ctrl3,116.01,116.01125815079,0.9047975733975916,0.9987153451803886
ctrl3,116.07,116.07159963754,0.9128684083496684,0.9822238431450911
ctrl3,118.05,118.05046748257,0.9069235200128728,0.9973012173556258
ctrl3,119.03,119.03495815795,0.9088437813679612,0.9965609235120108
ctrl3,127.07,127.07623176646,0.903925441499236,0.9903478340151532
ctrl3,134.98,134.98478947867,0.901063366197153,0.9743986759744332
ctrl3,136.86,136.86254335662,0.9586041024563624,0.9985500444981776
ctrl3,137.0,137.00015922784,0.9001273326008761,0.992756465786854
ctrl3,138.86,138.86011726406,0.9257341566763656,0.9987545706809888
ctrl3,145.06,145.06139056687,0.9339535684722317,0.9792340563058044
ctrl3,148.96,148.96434944924,0.9035466252097756,0.9930401222845324
ctrl3,152.89,152.89126587665,0.906105724459637,0.99302338742825
ctrl3,158.04,158.04692111312,0.9143232431491768,0.999386998034527
ctrl3,158.92,158.92493009626,0.96968268283724,0.995358084899684
ctrl3,163.12,163.123393416,0.9142341570366248,0.990331477912648
ctrl3,165.01,165.01838942086,0.906644735823004,0.9959814423668196
ctrl3,165.99,165.99072501285,0.9236146814677284,0.9923981283388372
ctrl3,169.12,169.12310748045,0.9160920767529876,0.9966911466495167
ctrl3,172.94,172.94037398637,0.9247685686134844,0.9854100573889356
ctrl3,176.05,176.05947424159,0.9225857920485274,0.988749741886025
ctrl3,176.85,176.85706353315,0.9848315371596322,0.9995871380997136
ctrl3,176.93,176.93578236842,0.967125237158156,0.9987379905120471
ctrl3,177.05,177.05702478979,0.9404638610639816,0.9968299536838756
ctrl3,178.85,178.85436037026,0.9799491828261196,0.9995870986278592
ctrl3,179.08,179.08164949912,0.9116499640169152,0.9958722996243188
ctrl3,181.12,181.12218051069,0.9363144324332844,0.9987887834962976
ctrl3,195.13,195.13795425395,0.9203074221983436,0.983621299639014
ctrl3,196.88,196.88046305687,0.9686509848213372,0.99939939995282
